cytoband	8p22	9p21.3	18q21.2	8p11.22	22q13.33	16p13.3	4q34.3	1p36.31	20p12.3	21q21.1	10q25.1	17p13.3	15q12	3p26.1	6q26	16q24.1	19q11	17p12	11q22.1	11p11.2	2q22.1	
											TCERG1L			TAGLN3	HIST1H2BL			LOC100289255	SNORA40		TNS1	
											HSPA12A			PRSS50	HIST1H2BN			MIR1288	SNORA25		TPO	
											PIPSL			RBM15B	HIST1H2BM			MIR1253	SNORA32		TSN	
											C10orf125			GMPPB	HIST1H2BF			LOC100306951	SNORD5		TSSC1	
											JAKMIP3			LINC00312	HIST1H2BE			MIR3183	SNORD6		TTN	
											STK32C			LMCD1	HIST1H2BH			MIR4314	TRIM49L1		TUBA4A	
											BLOC1S2			ARHGEF3	HIST1H2BI			MIR3676	LOC100128239		SUMO1	
											RBM20			TRAT1	HIST1H2BC			LOC100506388	LOC100132078		UCN	
											LOC282997			VILL	HIST1H2BO			LOC100506713	PATE3		UGP2	
											FLJ37201			IMPG2	HIST1H3A			MIR497HG	LOC100288077		VIL1	
											LOC283038			C3orf32	HIST1H3D			RNASEK-C17ORF49	LOC100288346		VRK2	
											LOC283089			TRNT1	HIST1H3C			C17orf61-PLSCR3	MIR1304		VSNL1	
											O3FAR1			ABHD5	HIST1H3E			FAM18B2-CDRT4	BACE1-AS		WIPF1	
											KCNK18			DYNC1LI1	HIST1H3I			SENP3-EIF4A1	MIR4301		WNT6	
											LIPM			C3orf18	HIST1H3G			P2RX5-TAX1BP3	MIR3167		XDH	
											CYP26C1			CRBN	HIST1H3J			MIR4731	MIR1260B		XPO1	
											VWA2			SS18L2	HIST1H3H			MIR4520A	LOC100499227		XRCC5	
											NANOS1			C3orf19	HIST1H3B			MIR4521	MIR3920		ZAP70	
											LRIT2			SHISA5	HIST1H4A			MIR4520B	MIR3656		ZNF2	
											HMX3			TIMMDC1	HIST1H4D				CASP12		ZNF142	
											NHLRC2			ZDHHC3	HIST1H4F				LOC100507392		SLC30A3	
											C10orf96			ZMYND10	HIST1H4K				LOC100526771		PXDN	
											FLJ46361			PLA1A	HIST1H4J				HSPB2-C11orf52		ALMS1	
											SH2D4B			TEX264	HIST1H4C				FXYD6-FXYD2		MOGS	
											C10orf99			CCDC72	HIST1H4H				MIR4697		RNF103	
											SLC16A12			ZNF589	HIST1H4B				MIR4490		PAX8	
											CC2D2B			HEMK1	HIST1H4E				MIR4493		IL1R2	
											ENO4			IP6K2	HIST1H4L				MIR4491		MALL	
											ARMS2			SFMBT1	HIST1H4G				MIR4492		CXCR4	
											C10orf122			NCKIPSD	STX7				MIR4693		FZD5	
											LOC387723			PHF7	CMAHP				LOC100652768		SCG2	
											GUCY2GP			FBXO40	DHX16						DYSF	
											NKX1-2			GHRL	SUPT3H						FZD7	
											FLJ41350			TLR9	PEX3						SDPR	
											C10orf120			SEMA5B	GCM1						NCK2	
											LOC399815			WDR5B	DDO						DUSP11	
											METTL10			LZTFL1	RNASET2						CUL3	
											FLJ37035			PARP14	KCNK5						KLF11	
											FOXI2			P4HTM	STX11						MAP4K3	
											FLJ46300			SLC6A20	B3GALT4						PKP4	
											LOC399829			IL17RD	SNX3						HAT1	
											SPRNP1			GRAMD1C	RNGTT						DGKD	
											GOLGA7B			ROPN1	RIPK1						AGPS	
											FAM45A			SIDT1	CD164						PRKRA	
											MIR107			C3orf75	SYNGAP1						STK16	
											C10orf62			SNRK	WISP3						SLC25A12	
											LOC439990			QRICH1	STK19						KLF7	
											LOC439994			PXK	IER3						ABCB11	
											IFIT1B			CMTM6	SYNJ2						NCOA1	
											FRG2B			RG9MTD1	VNN2						VAMP8	
											MIR346			SLC25A38	VNN1						MARCO	
											SPRN			ULK4	PRPF4B						B3GALT1	
											MIR146B			OXSM	WASF1						ADAM23	
											MIR202			SLC35A5	HIST1H3F						SUCLG1	
											NPS			TMEM45A	HIST1H2AG						IL18RAP	
											LOC619207			FEZF2	HIST1H2BJ						IL1RL2	
											SNORA19			IFT57	RNF8						IL18R1	
											LOC642361			EBLN2	TAAR5						NRP2	
											FAM196A			ANO10	MAP7						CFLAR	
											FAM25A			DALRD3	TBX18						ASAP2	
											LIPK			SHQ1	LATS1						PER2	
											LIPN			PBRM1	GCM2						ST3GAL5	
											LOC643529			ARL8B	WDR46						SLC5A6	
											RPL13AP6			SETD5	ZBTB22						DDX18	
											LOC650623			DPPA4	TAAR2						EIF2B4	
											SFTPA1			TMEM39A	TAAR3						CDK5R2	
											DUX4L7			ZNF654	CD83						KYNU	
											DUX4L6			TMEM40	HMGN3						TAF1B	
											DUX4L5			ABHD10	PPT2						NAT8	
											DUX4L3			CHDH	CDYL						NMI	
											SNORA12			IL17RB	NCR2						RQCD1	
											MIR608			NGLY1	MED23						COX7A2L	
											MIR609			TBC1D23	QKI						TMSB10	
											FAM22A			WDR52	LY86						IL1RL1	
											FAM22D			CACNA2D3	FHL5						LRRFIP1	
											LOC728190			DCP1A	AKAP7						STK17B	
											LOC728218			GLT8D1	ATG5						ITGB1BP1	
											DUX4L2			TMEM111	MED20						GPR55	
											LOC728558			EAF2	SLC25A27						TRIP12	
											LOC729020			BRK1	TBPL1						GTF3C3	
											SFTPA2			ZNF167	EEF1E1						PPIG	
											TLX1NB			LMOD3	BAG2						NRXN1	
											MIR936			CLDND1	POLR1C						OTOF	
											C10orf131			RAD18	MAD2L1BP						CIAO1	
											LOC100128054			SEMA3G	WTAP						TGFBRAP1	
											KLLN			NIT2	AKAP12						HS6ST1	
											LOC100169752			POGLUT1	MDC1						CRIPT	
											LOC100188947			BBX	TRAM2						ECEL1	
											DNMBP-AS1			KIF15	KIAA0408						MAP4K4	
											LOC100288974			ADAMTS9	PHACTR2						EIF2AK3	
											LOC100289509			PCBP4	FAM65B						EIF4E2	
											MIR1287			PCNP	ZSCAN12						ROCK2	
											MIR1307			SENP7	BCLAF1						CHST10	
											MIR2110			ABHD6	CUL7						TP53I3	
											FAS-AS1			LRTM1	ZBTB24						CIR1	
											MIR378C			C3orf14	KIAA0319						MRPL33	
											MIR4297			KIAA1143	SNAP91						BRE	
											MIR3157			HHATL	FIG4						PREPL	
											MIR3158-1			ARHGAP31	NUP153						CYTIP	
											MIR4295			KIAA1407	CASP8AP2						FEZ2	
											MIR3158-2			WDR48	RANBP9						GCC2	
											MIR4296			LRRN1	SLC17A4						TTLL4	
											MIR3941			KIAA1524	UST						SOCS5	
											MIR3663			SELK	TRIM10						EIF5B	
											MIR3944			PROK2	FLOT1						GREB1	
											LOC100505540			RNF123	RCAN2						BZW1	
											LOC100505761			NSUN3	SLC17A2						USP34	
											LOC100505839			CIDEC	HCG9						LAPTM4A	
											LOC100505933			POPDC2	PRSS16						HDAC4	
											LOC100507470			ZFYVE20	CRISP3						RNF144A	
											MARK2P9			KIF9	TRDN						SNX17	
											C10orf32-AS3MT			NFKBIZ	CITED2						SERTAD2	
											ARHGAP19-SLIT1			AZI2	BTN3A3						MRPL19	
											FAM24B-CUZD1			MTMR14	BTN2A2						ZEB2	
											MIR4680			ATG3	ECI2						FARP2	
											MIR4679-1			MRPS25	PFDN6						TLK1	
											MIR4483			CSRNP1	HMGN4						SUPT7L	
											MIR4679-2			GORASP1	TRIM38						CD302	
											MIR4678			CCDC14	CAP2						ARHGAP25	
											MIR4682			CDCP1	SYNCRIP						TANK	
											MIR4482-1			CCDC71	UBD						BCL2L11	
											MIR4484			NT5DC2	AGPAT1						FARSB	
											MIR4681			SLC26A6	SLC35A1						ABCB6	
											MIR4685			CRELD1	SCGN						ACTR3	
														CAMKV	C6orf108						ACTR2	
														TMEM43	C6orf10						ARPC2	
														OR5H6	FARS2						PREB	
														OR5H2	FUT9						ACTR1B	
														ZBED2	CNPY3						ARL4C	
														LRRC2	TRAF3IP2						LRPPRC	
														FYCO1	HBS1L						PDIA6	
														CEP97	SLC17A3						ABI2	
														HSPBAP1	RPP40						CEBPZ	
														C3orf52	FRS3						DHRS9	
														QTRTD1	PDE10A						TXNDC9	
														CCDC51	SLC22A7						MPHOSPH10	
														ZNF385D	HCP5						CALCRL	
														HDAC11	EHMT2						PSMD14	
														THOC7	SMPDL3A						STAM2	
														NAA50	APOBEC2						RAMP1	
														WDR82	PNRC1						SPEG	
														TSEN2	ASCC3						LANCL1	
														GRIP2	RAB32						NMUR1	
														OR5AC2	TRIM31						SMYD5	
														RTP3	KATNA1						KBTBD10	
														PARP9	FGFR1OP						MYCNOS	
														C3orf20	BTN3A2						C1D	
														ID2B	BTN3A1						MERTK	
														ARL6	BTN2A1						UBE2E3	
														ATRIP	CAPN11						STK25	
														NICN1	BVES						SEMA4F	
														MON1A	NUDT3						CCT7	
														C3orf26	SEC63						CCT4	
														JAGN1	NRM						GNLY	
														KBTBD8	STK38						CDC42EP3	
														GHRLOS2	SCAF8						STAMBP	
														RETNLB	KIAA1009						TGOLN2	
														CCDC54	ICK						MTX2	
														IL17RC	ENPP4						CGREF1	
														ABHD14B	ANKRD6						B3GNT2	
														MINA	RIMS1						USP39	
														GPR128	DOPEY1						TBR1	
														C3orf39	ZNF292						SIX2	
														DIRC2	FTSJD2						MAP3K2	
														EAF1	CDK19						NCKAP1	
														DCLK3	CUL9						VAMP5	
														C3orf15	TAB2						MTHFD2	
														PHLDB2	MDN1						ARID5A	
														UCN2	TSPYL4						PROKR1	
														ZNF502	ANKS1A						RAB10	
														BOC	UBR2						EDAR	
														FAM55C	SASH1						COPS8	
														RFT1	SYNE1						GPR75	
														OXNAD1	UFL1						YWHAQ	
														ZBTB47	SIRT5						IMMT	
														ACTR8	PHF3						SNRNP27	
														CMTM7	HEY2						GTF2A1L	
														OSBPL10	DAAM2						STON1	
														SLC25A26	KIAA0240						RAPGEF4	
														ZNF501	DDAH2						EMILIN1	
														C3orf24	HEBP2						CAPN10	
														LRRC58	ORC3						TBC1D8	
														LRRC3B	CD2AP						RABL2A	
														GALNTL2	BRD7P3						GALNT5	
														GPR62	MTCH1						NXPH2	
														CCDC58	ZNF318						GPR45	
														KCNH8	SPDEF						SP140	
														FAM3D	MTO1						MGAT4A	
														ZPLD1	ASF1A						GPN1	
														LYZL4	YIPF3						IKZF2	
														KBTBD5	USP49						COBLL1	
														TRIM71	CCDC28A						AAK1	
														CD200R1	MTHFD1L						FASTKD2	
														CHCHD4	PNISR						MAPRE3	
														DCBLD2	IBTK						PLA2R1	
														TMEM42	MOXD1						RAB3GAP1	
														FAM172BP	IPCEF1						RPIA	
														METTL6	ZNF451						SLC4A1AP	
														TAMM41	SENP6						EFR3B	
														IL17RE	OR2B6						SNRNP200	
														IQCF1	TIAM2						MYT1L	
														GLYCTK	FBXL4						WDR43	
														PPM1M	C6orf123						LPIN1	
														C3orf49	FAM50B						CEP68	
														SNTN	FBXO9						PASK	
														SYNPR	FBXO5						UBXN4	
														C3orf45	SLC17A5						ATG4B	
														ASB14	OR12D2						PSME4	
														DTX3L	OR11A1						EXOC6B	
														FAM19A4	RGS17						EHBP1	
														SGOL1	OR2W1						SATB2	
														PP2D1	OR2J2						CLASP1	
														EFHB	OR2H1						OBSL1	
														LOC151658	SNORD52						PUM2	
														CPNE9	SNORD50A						NCAPH	
														DPPA2	SNORD48						RHOQ	
														CCDC80	PDE7B						SF3B1	
														BTLA	FILIP1						HAAO	
														CCDC12	BRPF3						TMEM131	
														PPP4R2	GNMT						R3HDM1	
														LOC152024	TNFRSF21						DNPEP	
														ZCWPW2	SESN1						PSD4	
														CMC1	TINAG						WBP1	
														NEK10	DLL1						NTSR2	
														SPICE1	OSTM1						TMEFF2	
														CMTM8	MRPS18B						SH3BP4	
														CCDC13	TMEM14A						PRKD3	
														LOC152225	MRPL18						KCNE4	
														FGD5	NDUFAF4						RASGRP3	
														CIDECP	C6orf15						NGEF	
														CNTN4	MYLIP						QPCT	
														IGSF11	ABT1						GCA	
														C3orf30	DSE						VAX2	
														PARP15	PRICKLE4						SNORD82	
														GPR156	PACSIN1						MOB4	
														XIRP1	ZNRD1						POLR1A	
														PRICKLE2	CLDN20						CNRIP1	
														TTC21A	NOX3						FAM98A	
														C3orf67	DEF6						PNKD	
														KCTD6	C6orf48						UNC50	
														ARL13B	SLC35B3						SNED1	
														DHFRL1	HDDC2						GORASP2	
														KLHDC8B	GMNN						SPATS2L	
														GABRR3	MRPL2						RAB11FIP5	
														PTPLB	TFB1M						GIGYF2	
														STT3B	CYB5R4						EPC2	
														LOC201617	TUBE1						TRAF3IP1	
														DNAH12	C6orf203						ABCA12	
														PDE12	TBC1D7						IFT172	
														FAM116A	NRN1						ARL5A	
														TIGIT	CYP39A1						HIBCH	
														KIAA2018	CDC40						PTPN18	
														CADM2	RWDD1						CNNM4	
														ZNF620	AIG1						CNNM3	
														ZDHHC23	NOL7						IL36RN	
														LOC255025	SNX9						SH3YL1	
														PLCXD2	FAM8A1						SNORD53	
														GCET2	UBE2J1						SNORD51	
														ALS2CL	DCDC2						CNPPD1	
														TMIE	ETV7						STK36	
														LSAMP-AS3	TMEM14C						IL36B	
														C3orf64	VTA1						IL37	
														LOC285205	LGSN						IL36A	
														EPHA6	TDP2						SULT1C4	
														FBXW12	CUTA						NFU1	
														C3orf38	PPIL1						ERLEC1	
														ENTPD3-AS1	BRP44L						MMADHC	
														ZNF619	HECA						BMP10	
														ZNF621	RAB23						ZNF638	
														RABL3	COQ3						STK39	
														LOC285326	CLIC5						HTRA2	
														CCDC66	IL20RA						EML4	
														SLC9A10	TREM2						TRIB2	
														C3orf23	TREM1						CPS1-IT1	
														ZNF660	UNC93A						METTL5	
														FLJ39534	HCG4						LGALSL	
														LOC285359	GFOD1						OLA1	
														SUMF1	HMGCLL1						C2orf27A	
														RPUSD3	MTRF1L						GRHL1	
														PRRT3	CCHCR1						TFCP2L1	
														LOC285370	GTPBP2						ICOS	
														LOC285375	BTN2A3P						GMPPA	
														DPH3	AHI1						NRBP1	
														LOC285401	UHRF1BP1						BAZ2B	
														ILDR1	ELOVL2						SLC40A1	
														EIF4E3	CDKAL1						KCNIP3	
														CCDC36	PAK1IP1						EHD3	
														LOC339862	RMND1						SMARCAL1	
														C3orf35	PHIP						CD207	
														GADL1	SOBP						ITSN2	
														PRSS42	AKIRIN2						ANO7	
														LOC344595	CENPQ						ARHGEF4	
														ZNF860	MRPS18A						PDE11A	
														TMPRSS7	MRPS10						TPRKB	
														CD200R1L	LRRC1						FAHD2A	
														COL6A4P1	PHF10						PRLH	
														LNP1	QRSL1						WDPCP	
														TPRXL	VNN3						MEMO1	
														ZNF445	TMEM63B						THAP4	
														SPATA12	AKIRIN2-AS1						TRAPPC12	
														LHFPL4	DDX43						ASB3	
														C3orf77	FAM46A						INSIG2	
														C3orf62	LRRC16A						CRIM1	
														TMEM110	TBC1D22B						ANKRD39	
														PRSS45	TMEM30A						FAM178B	
														AMIGO3	EXOC2						RNF181	
														ZNF662	SAYSD1						MRPL30	
														CDHR4	C6orf70						DNAJC27	
														FAM212A	LMBRD1						ANKMY1	
														IQCF2	TRERF1						KRCC1	
														IQCF5	ACOT13						MRPL35	
														MUSTN1	ECHDC1						C2orf28	
														VGLL3	APOM						PCYOX1	
														VENTXP7	BTNL2						GULP1	
														LOC401052	KCNQ5						REV1	
														IQCF3	TRIM39						NAT8B	
														LOC401074	AGPAT4						SCLY	
														FLJ22763	WRNIP1						VPS54	
														FLJ25363	DUSP22						NBAS	
														OR5K2	TULP4						LIPT1	
														OR5H14	RARS2						NOP58	
														OR5H15	HYMAI						DYNC2LI1	
														OR5K3	PDSS2						SF3B14	
														OR5K4	GOPC						YPEL5	
														MIRLET7G	LYRM4						CHMP3	
														MIR128-2	C6orf162						FKBP7	
														MIR135A1	VARS2						ASB1	
														MIR138-1	GPR126						CPSF3	
														MIR191	KIAA1244						CAB39	
														MIR198	NHSL1						ZAK	
														MIR26A1	LYRM2						BCL11A	
														FAM19A1	SNX14						LRP1B	
														STX19	MRS2						PRKAG3	
														LOC440944	PLEKHG1						PPIL3	
														FLJ33065	ARID1B						SNTG2	
														TMEM89	LRFN2						DNAJC10	
														IQCF6	AARS2						ATAD2B	
														C3orf78	XPO5						ETAA1	
														LOC440970	SERINC1						HEATR5B	
														MIR425	HACE1						CCDC93	
														ARGFX	FAM135A						ASNSD1	
														SNORA6	TMEM181						UGT1A10	
														SNORA7A	ZBTB2						UGT1A8	
														TMPPE	BEND3						UGT1A7	
														TMEM30C	KIAA1586						UGT1A6	
														LOC644714	CPNE5						UGT1A5	
														LOC644990	LSM2						UGT1A9	
														LOC645206	C6orf47						UGT1A4	
														SPINK8	LY6G5B						UGT1A1	
														C3orf71	C6orf115						UGT1A3	
														LOC646498	RRAGD						FEV	
														FLJ20518	LY6G6D						AFTPH	
														LINC00488	ENPP5						MFSD6	
														SNORD19	PRDM13						TMEM214	
														FAM86DP	PBOV1						RETSAT	
														SNORD69	BACH2						INO80D	
														MIR548A2	ELOVL5						SEMA4C	
														MIR548A3	TRMT11						C2orf18	
														MIR563	SMAP1						C2orf42	
														MIR564	ZFAND3						TRMT61B	
														MIR567	SLC22A23						PID1	
														MIR568	C6orf164						PTCD3	
														GXYLT2	MUTED						PLEKHB2	
														FAM198A	CCDC90A						ATG16L1	
														CCR2	GPSM3						FANCL	
														ESRG	FKBPL						SRBD1	
														LOC100009676	KIF13A						FIGN	
														SNORD19B	PERP						ANKZF1	
														MIR885	SMOC2						RIF1	
														EGOT	POPDC3						USP40	
														GHRLOS	ZNF323						MOB1A	
														C3orf74	ALDH8A1						STEAP3	
														LOC100128640	C6orf106						ASXL2	
														NRADDP	MICAL1						ADI1	
														LOC100129480	MRPL14						THNSL2	
														LOC100129550	DLK2						ACOXL	
														ZBTB20-AS1	LY6G6E						WDR33	
														ZNF717	ULBP3						HJURP	
														LOC100132146	OR2A4						STRADB	
														LOC100132526	C6orf211						C2orf56	
														BSN-AS2	OGFRL1						HES6	
														PRSS46	FAM184A						ACCN4	
														LOC100287879	ZDHHC14						C2orf29	
														LOC100288428	ZNF322						NAGK	
														FRG2C	MANEA						DOCK10	
														MIR1284	ADGB						TTC27	
														MIR1324	TREML2						SMPD4	
														MIR1226	RPP21						TMEM127	
														LOC100302640	LINC00472						PRPF40A	
														MIR711	ATAT1						SLC30A6	
														MIR548G	FRMD1						IWS1	
														MIR3136	AGPAT4-IT1						LIMS2	
														MIR4270	C6orf208						KANSL3	
														MIR4272	C6orf97						MREG	
														MIR4271	MYCT1						CCDC88A	
														MIR4273	ZKSCAN3						WDR12	
														MIR3921	ULBP2						MBD5	
														MIR3938	ULBP1						KDM3A	
														MIR3714	ZSCAN16						ALLC	
														FGD5-AS1	LPAL2						PECR	
														LOC100505696	RNF39						ARHGAP15	
														KRBOX1	SLC44A4						ZC3H15	
														PVRL3-AS1	VWA7						CFC1	
														IGSF11-AS1	C6orf25						DNAH7	
														MYLK-AS1	LY6G6C						GKN1	
														IQCF4	LY6G5C						IL36G	
														LOC100506994	PRR3						RPRM	
														LOC100507062	KHDC1						CYP26B1	
														ADAMTS9-AS2	ZNRD1-AS1						POLE4	
														LOC100507582	PRRT1						KCNK12	
														ARPC4-TTLL3	EGFL8						UGGT1	
														ABHD14A-ACY1	HCG4B						KCMF1	
														TMEM110-MUSTN1	GPR63						DPYSL5	
														MIR4793	TXNDC5						PNO1	
														MIR4787	COL21A1						STARD7	
														MIR4795	C6orf62						C2orf83	
														MIR4796	OR5V1						MFF	
														MIR4791	OR2B2						RPL23AP32	
														MIR4790	PPP1R14C						CXCR7	
														MIR548AC	OR12D3						RNPEPL1	
														MIR4444-1	SPACA1						RTN4	
														MIR4443	RNF146						TRIM54	
														MIR4792	TMEM14B						PELI1	
														MIR4446	SF3B5						SLC39A10	
														MIR4442	TAAR8						TTC7A	
														LOC100652759	SH3BGRL2						SMEK2	
														LUST	RIOK1						SLC4A10	
															TFAP2D						CYP20A1	
															KCNK16						SPC25	
															RSPH3						BIRC6	
															TTLL2						ERMN	
															DTNBP1						KIDINS220	
															ARMC2						MTA3	
															FBXO30						HECW2	
															RPF2						WDR35	
															MNF1						MARCH4	
															L3MBTL3						WDFY1	
															FAM120B						NYAP2	
															MCHR2						DPP10	
															PGBD1						RDH14	
															FAXC						EPB41L5	
															FNDC1						ALS2	
															TTBK1						ZDBF2	
															GJA10						USP37	
															RTN4IP1						CWC22	
															ADTRP						ANKRD36B	
															RSPO3						G6PC2	
															LRP11						SLC4A5	
															LTV1						CTDSP1	
															SERAC1						NLRC4	
															USP45						MPP4	
															REPS1						SLC5A7	
															HIST1H2AH						NIF3L1	
															HIST1H2BK						AGBL5	
															PPIL4						C2orf43	
															PAQR8						THADA	
															SLC22A16						PCGEM1	
															RRP36						RBKS	
															C6orf7						GAL3ST2	
															KCNK17						TMBIM1	
															ABCC10						IFIH1	
															TRIM15						OSGEPL1	
															KLC4						ATL2	
															UBE2CBP						ABCG5	
															MLIP						ABCG8	
															LINC00473						RAB17	
															KIAA1919						RNF25	
															TJAP1						HS1BP3	
															ARHGAP18						GMCL1	
															POM121L2						TTC31	
															SYTL3						ANAPC1	
															FOXQ1						COPS7B	
															GTF3C6						RMND5A	
															MRAP2						FNDC4	
															RWDD2A						MARCH7	
															IL17F						OBFC2A	
															FAM54A						PAPOLG	
															SFT2D1						MRPS9	
															EFHC1						MRPS5	
															BTBD9						REEP1	
															KLHL32						RAPH1	
															TMEM200A						CDK15	
															SCAND3						TMEM237	
															MB21D1						NBEAL1	
															FOXP4						CFLAR-AS1	
															KLHDC3						MRPL44	
															NUS1						SOWAHC	
															C6orf72						PLEKHA3	
															SLC26A8						TRAK2	
															IL22RA2						BOLL	
															MAS1L						COLEC11	
															C6orf192						PDCL3	
															SLC16A10						TRPM8	
															IP6K3						ATG9A	
															TAGAP						C2orf49	
															TAF8						MLPH	
															ADAT2						TMEM185B	
															RIPPLY2						FAM134A	
															IRAK1BP1						CENPO	
															CLVS2						OR7E91P	
															TAAR9						GLB1L	
															TAAR1						C2orf47	
															STXBP5						SPAG16	
															NCOA7						CHPF	
															HINT3						SAP130	
															PACRG						GALNT14	
															B3GAT2						SCRN3	
															C6orf57						CCDC121	
															CD109						FASTKD1	
															RAET1E						SMC6	
															PM20D2						GTDC1	
															SRSF12						CLIP4	
															C6orf141						IQCA1	
															HUS1B						ALS2CR8	
															TRIM40						TTC21B	
															DPCR1						CAMKMT	
															NRSN1						METTL8	
															LOC153910						GEMIN6	
															ZC2HC1B						NHEJ1	
															SNRNP48						FAM124B	
															CNKSR3						TM4SF20	
															RAET1L						CYBRD1	
															SAMD3						C2orf54	
															MGC34034						NOL10	
															SLC2A12						ANKRD53	
															LOC154092						CSRNP3	
															MBOAT1						PGAP1	
															HDGFL1						LRRTM4	
															PNLDC1						DCAF17	
															RNF217						TUBA4B	
															NKAIN2						MZT2B	
															C6orf221						YSK4	
															C6orf165						UXS1	
															C6orf195						FBXO11	
															BVES-AS1						ARMC9	
															LOC154449						COQ10B	
															CCDC167						SLC35F5	
															PRSS35						EFHD1	
															LCA5						C2orf44	
															OLIG3						SPHKAP	
															TXLNB						WNT10A	
															DACT2						SLC19A3	
															C6orf118						TSGA10	
															PSORS1C1						THSD7B	
															PSORS1C2						THUMPD2	
															PPP1R18						TMEM177	
															PTCRA						KIAA1715	
															OSTCP1						ILKAP	
															TCTE1						FAM49A	
															KHDRBS2						LMAN2L	
															TRIM39-RPP21						LBH	
															TUBB						TMEM163	
															C6orf163						ITM2C	
															PIP5K1P1						TCF7L1	
															CCDC162P						INO80B	
															AKD1						AMMECR1L	
															NT5DC1						CDCA7	
															FAM26D						WDR54	
															ZUFSP						ZRANB3	
															FAM162B						RAB6C	
															C6orf170						WDR75	
															BEND6						FAM161A	
															GSTA5						FAM176A	
															OPN5						ANTXR1	
															GPR115						POLR1B	
															GPR116						ELMOD3	
															TDRD6						RGPD5	
															SPATS1						C2orf16	
															C6orf223						RHBDD1	
															RSPH9						CHCHD5	
															LRRC73						YIPF4	
															TREML2P1						PRADC1	
															LOC221442						C2orf88	
															C6orf130						ING5	
															KIF6						CCDC115	
															TMEM217						MKI67IP	
															FGD2						C2orf40	
															PI16						ZNF512	
															C6orf89						ZC3H8	
															ARMC12						KIAA1841	
															C6orf1						ST6GAL2	
															LEMD2						IL1F10	
															ZBTB9						DPY30	
															ZBTB12						MCEE	
															C6orf136						LOXL3	
															ZSCAN12P1						ABHD1	
															HIST1H2AA						PCGF1	
															KDM1B						DDX11L2	
															RBM24						MFSD9	
															RNF182						PLCD4	
															PHACTR1						SFT2D3	
															C6orf228						CCDC142	
															SYCP2L						ZNF514	
															LINC00518						FAM136A	
															PXDC1						TMEM87B	
															MGC39372						ATOH8	
															HS3ST5						LOC84931	
															GPRC6A						MGC16025	
															RFX6						TANC1	
															SLC35F1						EPT1	
															FAM83B						LBX2	
															GPR111						PNPT1	
															TSPO2						KCNH7	
															UNC5CL						FER1L5	
															KCTD20						MCFD2	
															PXT1						ATP6V1E2	
															LHFPL5						LOC90499	
															SCUBE3						CCDC74A	
															ZSCAN23						LOC90784	
															NKAPL						DHX57	
															TOB2P1						LOC91149	
															FAM217A						SESTD1	
															VGLL2						CCDC74B	
															DEFB110						PKDCC	
															DEFB112						ANKRD44	
															DEFB113						RSAD2	
															DEFB114						ZNF804A	
															LACE1						TTC30A	
															HCG27						DAPL1	
															C6orf191						CAPN13	
															MMS22L						TMEM169	
															WDR27						DNER	
															FAM26E						CCDC164	
															MCM9						IMP4	
															RNF144B						HNRPLL	
															HIST1H2BA						MARS2	
															SCML4						B3GNT7	
															GPX6						NT5C1B	
															SHPRH						NEURL3	
															NCR3						SP140L	
															LY6G6F						SFXN5	
															MDGA1						ORMDL1	
															GPR110						LIMS3	
															ZNF311						LINC00152	
															LINC00326						TUBA3E	
															LOC285740						CCDC104	
															CEP57L1						TEX261	
															PPIL6						TUBA3D	
															LOC285758						STK11IP	
															FLJ34503						FMNL2	
															DCBLD1						CCDC85A	
															LOC285762						GALNT13	
															LOC285768						KLHL29	
															LY86-AS1						OSBPL6	
															CAGE1						NOSTRIN	
															LOC285796						DIRC1	
															PRR18						WDR92	
															LOC285819						MOGAT1	
															HLA-F-AS1						LYPD1	
															HCG22						MRPL53	
															LOC285847						AGAP1	
															PNPLA1						TWIST2	
															TREML4						PARD3B	
															RPL7L1						RPL23AP7	
															RNF5P1						PPP1R21	
															TAAR6						C2orf89	
															SLC35D3						TMEM150A	
															ZC3H12D						NUP35	
															MYLK4						XIRP2	
															DPPA5						TYW5	
															IFITM4P						NMS	
															CLPSL1						LYG1	
															TREML1						MITD1	
															TREML3						DIS3L2	
															RSPH4A						CMPK2	
															ECT2L						MBOAT2	
															EYS						CNTNAP5	
															ZNF391						TMEM18	
															ZFP57						FBLN7	
															TUBB2B						NEU4	
															SLC35B2						RBM45	
															C6orf52						C2orf73	
															NUP43						TRIM43	
															HCG26						BBS5	
															C6orf58						C2orf77	
															RAET1G						ACMSD	
															KAAG1						ICA1L	
															GUSBP4						FAM168B	
															GJB7						CIB4	
															NHLRC1						REG3G	
															ZKSCAN4						RFTN2	
															GUSBP2						C2orf63	
															HMGA1P7						PLEKHH2	
															SNHG5						AP1S3	
															SUMO4						C2orf76	
															C6orf147						SGPP2	
															CENPW						ACVR1C	
															C6orf174						OSR1	
															LINC00222						TTC32	
															CEP85L						UBR3	
															C6orf120						KCTD18	
															VN1R10P						ALS2CR12	
															HIST1H2APS1						ZNF513	
															THEMIS						SPATA3	
															PSMG4						LYPD6	
															SFTA2						LYPD6B	
															CLPSL2						GALM	
															C6orf222						TMEM198	
															GLYATL3						ZFAND2B	
															GFRAL						TMEM178	
															LIN28B						CPO	
															SAMD5						MDH1B	
															IYD						C2orf50	
															MUC21						PQLC3	
															DKFZP686I15217						TMEM182	
															FLJ23152						AHSA2	
															LINC00340						FBXO36	
															LOC401242						MTERFD2	
